iter	Logloss
0	0.613858292
1	0.5312340899
2	0.4629683885
3	0.4023072282
4	0.3488617575
5	0.3016797433
6	0.2609451629
7	0.2236553154
8	0.1928776908
9	0.1682554387
10	0.1451658086
11	0.1264583547
12	0.1097045938
13	0.09602846556
14	0.08360077015
15	0.07288601352
16	0.06428887657
17	0.05643614216
18	0.04975827524
19	0.04380993949
20	0.0387482377
21	0.03436328197
22	0.03074137797
23	0.02758128172
24	0.02473127089
25	0.02234584675
26	0.02017424073
27	0.01829789617
28	0.01665837731
29	0.01523271271
30	0.01399440348
31	0.01288107535
32	0.01191363028
33	0.01102250133
34	0.0102466785
35	0.009542676018
36	0.008928438275
37	0.00834577557
38	0.0078246749
39	0.007378662706
40	0.006952167382
41	0.006570995683
42	0.006248501293
43	0.005950700622
44	0.005656516259
45	0.0053906316
46	0.005163422569
47	0.004938603887
48	0.004748898516
49	0.004564776804
50	0.004405009611
51	0.00424560073
52	0.00410149249
53	0.003989937194
54	0.003861781389
55	0.003767550721
56	0.003678987114
57	0.003576458741
58	0.003478175815
59	0.003412085755
60	0.003341709345
61	0.003263102214
62	0.003211537373
63	0.00315150091
64	0.003082092488
65	0.003019965154
66	0.002958499827
67	0.002910787564
68	0.002856610169
69	0.002807372221
70	0.002769427673
71	0.002719959234
72	0.002675271774
73	0.002644399268
74	0.002608404542
75	0.002571919872
76	0.002537179609
77	0.002505184009
78	0.002481473118
79	0.002459809018
80	0.002443101102
81	0.002427325222
82	0.002412388315
83	0.002397405551
84	0.002384079973
85	0.002345062477
86	0.002330969818
87	0.002302735764
88	0.002290124339
89	0.002280711859
90	0.002265883444
91	0.002246146759
92	0.002234253283
93	0.002212825985
94	0.002196847384
95	0.00217759911
96	0.002158819102
97	0.002140562102
98	0.002122122029
99	0.0021028698
100	0.002088856548
101	0.002076727657
102	0.002066388071
103	0.002055156899
104	0.002042214867
105	0.002030899117
106	0.002023042309
107	0.002015216938
108	0.001998609249
109	0.001983476863
110	0.001976173402
111	0.001966421682
112	0.001958830531
113	0.001946032271
114	0.001940023244
115	0.001925690099
116	0.001911623983
117	0.00190027653
118	0.001891020969
119	0.00188136508
120	0.001872318609
121	0.00186437536
122	0.001857565814
123	0.001848412793
124	0.001841400548
125	0.001833195463
126	0.001823960727
127	0.001816495344
128	0.001808452638
129	0.001804372639
130	0.001795177997
131	0.001790719175
132	0.00178421718
133	0.001779590021
134	0.001774556185
135	0.001769500941
136	0.001764293396
137	0.001760905169
138	0.001756017562
139	0.001750245867
140	0.001745816646
141	0.001742855295
142	0.001737693746
143	0.001734931477
144	0.001730949714
145	0.001728456675
146	0.001725192553
147	0.001721962935
148	0.001718133365
149	0.001715803047
150	0.001713643913
151	0.001710248148
152	0.00170678804
153	0.001704255511
154	0.001702163603
155	0.001699090128
156	0.001696590468
157	0.001694648726
158	0.001693113641
159	0.001688754649
160	0.001686320206
161	0.001679731446
162	0.001678171712
163	0.001671302743
164	0.001667118343
165	0.001663980181
166	0.001661061717
167	0.00165737318
168	0.001654446994
169	0.001649173083
170	0.001644307137
171	0.001639636912
172	0.001636983665
173	0.001634385158
174	0.001630787349
175	0.001627759387
176	0.001624968943
177	0.001619875183
178	0.001617382077
179	0.001615549662
180	0.001613852651
181	0.001612272862
182	0.001611094739
183	0.001609524976
184	0.001607919227
185	0.00160472416
186	0.001602901315
187	0.001600997497
188	0.001597686095
189	0.001594992986
190	0.001593455526
191	0.001590953897
192	0.001588316626
193	0.001586607984
194	0.00158419437
195	0.001582598383
196	0.001577333722
197	0.001574395705
198	0.001573196714
199	0.001569429743
200	0.001567526716
201	0.001566325039
202	0.001563139543
203	0.00155957969
204	0.001558410317
205	0.001556430186
206	0.001554980429
207	0.00155170185
208	0.001550451096
209	0.001549434069
210	0.001548959205
211	0.001546330786
212	0.001545392084
213	0.001542845636
214	0.001538918479
215	0.001538011279
216	0.001535117428
217	0.001534230252
218	0.001531456703
219	0.001526993891
220	0.00152387329
221	0.001522202649
222	0.001518734827
223	0.001515181149
224	0.001514119445
225	0.001511720652
226	0.001508815218
227	0.001505873991
228	0.001505225578
229	0.00150189228
230	0.001499180273
231	0.001497380303
232	0.001496110844
233	0.001494111672
234	0.001491414797
235	0.001489023883
236	0.00148654691
237	0.001484358104
238	0.001480964217
239	0.001477688009
240	0.001475132399
241	0.001471779053
242	0.001468479581
243	0.001467049873
244	0.00146434644
245	0.001461493467
246	0.001459494405
247	0.001457976512
248	0.001455489335
249	0.001452808348
250	0.001451188296
251	0.001448317192
252	0.001445817846
253	0.001443701747
254	0.001441116446
255	0.001439265581
256	0.001436618982
257	0.001435228594
258	0.001433529328
259	0.001431547678
260	0.00142970764
261	0.001428722054
262	0.001426776352
263	0.001423058758
264	0.001421738374
265	0.001417560902
266	0.00141533238
267	0.00141373395
268	0.001411899668
269	0.001408688381
270	0.001406612745
271	0.001403836742
272	0.00140293826
273	0.001400396858
274	0.001398757225
275	0.0013971189
276	0.001394955958
277	0.001393136845
278	0.001391306843
279	0.001389538475
280	0.001386798948
281	0.001384982389
282	0.001383534696
283	0.001381961637
284	0.001380670366
285	0.001378768767
286	0.001376948275
287	0.001374804228
288	0.00137263663
289	0.001371252225
290	0.001369713989
291	0.001368058768
292	0.001365968433
293	0.001364401498
294	0.001362685987
295	0.001361116852
296	0.001359241657
297	0.001357812214
298	0.001356710831
299	0.001355237693
300	0.001353616335
301	0.00135123776
302	0.001349422783
303	0.00134856718
304	0.001347668493
305	0.001344983477
306	0.00134284917
307	0.001341768401
308	0.001340314414
309	0.001339355796
310	0.00133795705
311	0.001336921319
312	0.001336129807
313	0.001335249131
314	0.001334541508
315	0.001332057197
316	0.001330846133
317	0.001329519813
318	0.001328198433
319	0.001327044386
320	0.001325847665
321	0.001324833302
322	0.001323265196
323	0.001322007056
324	0.001320475774
325	0.001319703903
326	0.001318569894
327	0.001315854757
328	0.001314712138
329	0.001313549854
330	0.001311946267
331	0.001310520421
332	0.001309257977
333	0.001308106053
334	0.001307461215
335	0.001306486482
336	0.001305844882
337	0.001304856299
338	0.001304226557
339	0.00130318568
340	0.001302539822
341	0.001301261873
342	0.001300278423
343	0.001299074566
344	0.001297748305
345	0.001295967767
346	0.001294172877
347	0.001293235244
348	0.001292153395
349	0.001291263042
